pub_date,authors,title,venue,url_slug,paper_url,tag,code_url,extra_links,doi
2022-07-01,"Lijun Zhang, Xiao Liu, Hui Guan",A Tree-Structured Multi-Task Model Recommender,"1st International Conference on Automated Machine Learning, July 25-27, 2022. (Acceptance rate: 19.2%)",automl22-treestructured-multitask,http://guanh01.github.io/files/2022automl.pdf,AutoML'22,https://github.com/zhanglijun95/TreeMTL,Teaser~>https://www.youtube.com/watch?v=t9r474WdBEQ|Video~>https://www.youtube.com/watch?v=DobkdkBMFrg,
2022-07-01,"Lijun Zhang, Qizheng Yang, Xiao Liu, Hui Guan",Rethinking Hard-Parameter Sharing in Multi-Domain Learning,"IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO (ICME), Taipei, Taiwan, July 18-22, 2022. (Acceptance rate: 29%)",icme22-rethinking-hardparameter,http://guanh01.github.io/files/2022rethinking.pdf,ICME'22,,,
2022-07-01,"Yili Shen, Jiaxu Yan, Cheng-Wei Ju, Jun Yi, Zhou Lin, Hui Guan",Improving Subgraph Representation Learning via Multi-View Augmentation,[ICML 2022 AI4Science Workshop](http://ai4science.net/icml22/),ai4scienceicml22-improving-subgraph,https://arxiv.org/pdf/2205.13038.pdf,AI4Science@ICML'22,,talk~>https://slideslive.com/38986179/improving-subgraph-representation-learning-via-multiview-augmentation,
2022-06-01,"Kunjal Panchal, Hui Guan",Flow: Fine-grained Personalized Federated Learning through Dynamic Routing,[CrossFL 2022 Workshop @ MLSys'22](https://crossfl2022.github.io/program/),crossfl22-flow-finegrained,https://crossfl2022.github.io/abstracts/Abstract9.pdf,CrossFL'22,,Poster~>https://crossfl2022.github.io/posters/Poster9.pdf,
2022-04-01,"Zifan Nan, Xipeng Shen, Hui Guan",Enabling Near Real-Time NLU-Driven Natural Language Programming through Dynamic Grammar Graph-Based Translation,"The 2022 International Symposium on Code Generation and Optimization (CGO), Seoul, South Korea, 2022",cgo22-enabling-near,http://guanh01.github.io/files/2022cgo.pdf,CGO'22,,,
2021-12-01,"Hui Guan, Umang Chaudhary, Yuanchao Xu, Lin Ning, Lijun Zhang, and Xipeng Shen",Recurrent Neural Networks Meet Context-Free Grammar: Two Birds with One Stone,"In IEEE International Conference on Data Mining, 2021 (short paper). (Acceptance rate: 20% (198/990))",icdm21-recurrent-neural,http://guanh01.github.io/files/2021rnn.pdf,ICDM'21,,,
2021-06-03,"Marco Serafini, Hui Guan",Scalable Graph Neural Network Training: The Case for Sampling,"In ACM SIGOPS Operating Systems Review, 2021",2021sampling,http://guanh01.github.io/files/2021sampling.pdf,OSR'21,,,
2021-06-01,"Xin Zhao, Jin Zhou, Hui Guan, Wei Wang, Xu Liu, Tongping Liu",NumaPerf: Predictive and Comprehensive NUMA Profiling,"In Proceedings of International Conference on Supercomputing, 2021. (Acceptance rate: 25% (39/157))",ics21-numaperf-predictive,http://guanh01.github.io/files/2021ics.pdf,ICS'21,,,
2021-06-01,"Shaurya Patel, Tongping Liu, Hui Guan",FreeLunch: Compression-based GPU Memory Management for Convolutional Neural Networks,In MCHPC'21 Workshop,mchpc21-freelunch-compressionbased,http://guanh01.github.io/files/2021mchpc.pdf,MCHPC'21,,,
2021-06-01,"Hui Guan, Shaoshan Liu, Xiaolong Ma, Wei Niu, Bin Ren, Xipeng Shen, Yanzhi Wang, Pu Zhao. (Authors in Alphabetical Order)",CoCoPIE: Enabling Real-Time AI on Off-the-Shelf Mobile Devices via Compression-Compilation Co-Design,"In Communications of the ACM, 2021",2021CACM,https://cacm.acm.org/magazines/2021/6/252819-cocopie/fulltext,CACM'21,,,
